X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
-100;0;0;10521.6153846154;11.3076923076923;-10498.1538461538;292.846153846154;-2.07692307692308;-286.615384615385;0.435897461538462;0.0177514692307692;0.366863692307692;0.818540615384615;-0.464331461538461;0.0210118846153846;0.0269290384615385;790.247384615384;401.722538461538;148.391923076923;0.681669000000114;-32.03988;-1.323419
-100;0;0;14824;8;-14818;290.769230769231;0;-284.538461538462;0.357001692307692;0.0177514615384615;0.447731692307692;0.830374923076923;-0.471159769230769;-0.0276054730769231;-0.00788165153846154;800.953076923077;384.648692307692;148.288076923077;-1.103203;-36.30908;0.791574
-100;0;0;19408.5384615385;10.5384615384615;-19432.1538461538;286.615384615385;2.07692307692308;-288.692307692308;0.404339153846154;0.0177514692307692;0.394477;0.810651307692308;-0.459779;-0.00396056;0.0157633476923077;811.004769230769;367.643615384615;148.269307692308;-0.656995;-33.63959;-0.5026872
-100;0;0;23739.0769230769;7.07692307692308;-23592.7692307692;288.692307692308;2.07692307692308;-276.230769230769;0.297830076923077;0.00591715384615385;0.489151846153846;0.792899615384615;-0.454088538461539;-0.0676567461538461;-0.0617395923076923;821.469230769231;353.323692307692;148.332153846154;0.681661000000057;-29.57417;4.013944
-100;0;0;27720.2307692308;3;-27525.9230769231;284.538461538462;-2.07692307692308;-290.769230769231;0.457593538461538;0.0276133923076923;0.429980076923077;0.911242846153846;-0.509854153846154;0.00525048230769231;0.00919533538461538;831.176461538461;338.521846153846;148.459076923077;1.51012299999991;-35.0393;-1.1874497
-100;0;0;31893.6153846154;19;-31662.0769230769;290.769230769231;0;-286.615384615385;0.386587384615384;0.0138067076923077;0.408283692307692;0.808678923076923;-0.458641153846154;-0.0164339184615385;-0.00262721076923077;839.954538461539;322.859307692308;148.795230769231;1.08355600000011;-32.21195;0.711941
-100;0;0;35964.1538461538;52.5384615384615;-35950.0769230769;272.076923076923;4.15384615384615;-294.923076923077;0.623274307692308;0.0453648692307692;0.360946861538462;1.01577953846154;-0.562205153846154;0.0524990088846154;0.0978639;847.630615384615;306.852538461539;148.742769230769;1.07389499999994;-31.43967;-3.668947
-100;0;0;39863.3846153846;78.5384615384615;-39946.9230769231;288.692307692308;-4.15384615384615;-290.769230769231;0.473372769230769;0.00197238461538462;0.424063;0.901379923076923;-0.521234846153846;0.0157593769230769;0.0197041538461538;857.234846153846;292.016076923077;148.982076923077;-1.09321;-34.16277;2.532672
-100;0;0;43901.3076923077;35.3846153846154;-43989.6923076923;292.846153846154;0;-280.384615384615;0.349112230769231;0.0355029538461538;0.487179461538462;0.871794692307692;-0.473436;-0.0768815076923077;-0.0413786423076923;866.356923076923;277.111;148.805384615385;-1.07848200000003;-32.91942;0.286996
-100;0;0;48201.1538461538;11.6923076923077;-48197.6923076923;272.076923076923;2.07692307692308;-276.230769230769;0.611439930769231;0.0788954;0.485207153846154;1.18540446153846;-0.632765230769231;-0.0158501571;0.0709349592784816;874.687384615385;260.691153846154;149.244538461538;1.480363;-33.34542;-3.543059
