X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
100;0;0;-2138.07692307692;0.461538461538462;2059.92307692308;-224.307692307692;0;251.307692307692;1.05719869230769;0;1.07889515384615;2.13806769230769;1.23366215384615;0.00788167692307693;0.00788167692307693;149.117846153846;762.545538461538;264.812923076923;-0.0632171;-0.00920199999999993;-0.0109859999999999
100;0;0;-5864.92307692308;1;5637.61538461538;-238.846153846154;0;236.769230769231;1.12031592307692;0;1.22879769230769;2.36291923076923;1.35430076923077;0.0459763384615385;0.0459763384615385;149.255692307692;762.683076923077;265.045846153846;1.616704;1.756928;-1.529319
100;0;0;-9467.92307692308;1;9082.38461538462;-257.538461538462;0;247.153846153846;0.932939076923077;0;1.13215;2.05917153846154;1.18814307692308;0.0683076123076923;0.0683076123076923;149.324615384615;762.751846153846;265.178923076923;-0.6334777;-0.91383;0.722468
100;0;0;-13390.7692307692;1;12886.2307692308;-257.538461538462;0;240.923076923077;0.988165538461538;0;1.13412223076923;2.10256461538461;1.22114630769231;0.0413787153846154;0.0413787153846154;149.324615384615;762.751846153846;265.163538461538;-0.705111;-0.915591;0.720368
100;0;0;-17328.3846153846;1;16642.1538461538;-259.615384615385;0;236.769230769231;1.02564130769231;0;1.13017623076923;2.15581923076923;1.25187230769231;0.0302130076923077;0.0302130076923077;149.359076923077;762.786230769231;265.222692307692;0.0548010999999999;-0.010034;-0.011965
100;0;0;-21073.2307692308;1;20225.6923076923;-247.153846153846;0;255.461538461538;0.970413615384615;0;1.07100515384615;2.04142;1.17790153846154;0.03349702;0.03349702;149.255692307692;762.579692307692;264.895076923077;-3.6296617;-2.9154249;3.828271
100;0;0;-24917.8461538462;1;23933.0769230769;-265.846153846154;0;255.461538461538;1.00788823076923;0;1.02564084615385;2.03353076923077;1.17334692307692;0.00591125384615385;0.00591125384615385;149.290153846154;762.545230769231;264.799692307692;1.389854;0.8876933;-1.610378
100;0;0;-28576.6923076923;1;27470.3076923077;-249.230769230769;0;230.538461538462;0.992111;0;1.092702;2.12031692307692;1.22797461538462;0.0229881415384615;0.0229881415384615;149.359076923077;762.717307692308;265.126538461538;3.0062109;1.911062;-3.14764
100;0;0;-32158.5384615385;1;30954.3846153846;-259.615384615385;0;249.230769230769;1.02958476923077;0;1.05128223076923;2.08086846153846;1.20065923076923;0.00722485384615384;0.00722485384615384;149.428;762.855;265.360076923077;0;0;0
100;0;0;-35952.4615384615;1;34640.1538461538;-257.538461538462;0;238.846153846154;1.00986261538462;0;1.09467476923077;2.06903461538462;1.18017492307692;0.0387514784615385;0.0387514784615385;149.393384615385;762.751846153846;265.072923076923;-2.2726501;-0.1846048;1.625687
100;0;0;-39473.6923076923;1;38044.5384615385;-251.307692307692;0;243;1.02169607692308;0;1.16962523076923;2.19132230769231;1.26097846153846;0.0512307815384615;0.0512307815384615;149.393538461538;762.820615384615;265.306461538462;-0.0632171;-0.00910500000000003;-0.0108440000000001
100;0;0;-43151.4615384615;1;41637.8461538462;-247.153846153846;0;257.538461538462;1.03352953846154;0;0.999999923076923;2.03353076923077;1.15741353846154;-0.00197041846153846;-0.00197041846153846;149.393538461538;762.786153846154;265.253153846154;0;-0.0396289999999999;-0.0246900000000001
100;0;0;-46910.7692307692;1;45287.4615384615;-261.692307692308;0;251.307692307692;0.962524615384615;0;1.00197246153846;1.95660692307692;1.12896307692308;0.0157633307692308;0.0157633307692308;149.428;762.614153846154;265.105923076923;-2.525715;-0.4050296;4.097133
-100;0;0;2046.76923076923;0;-2038.30769230769;253.384615384615;0;-257.538461538462;1.03944784615385;0;0.970413923076923;2.00197153846154;-1.18472730769231;0.0426923953846154;0.0426923953846154;149.014461538462;762.407923076923;264.597538461538;-0.768321;-0.935176;0.718558
-100;0;0;6270.84615384615;0;-6220.69230769231;243;0;-247.153846153846;1.09072853846154;0;1.12031446153846;2.21104692307692;-1.27577230769231;-0.00985213538461539;-0.00985213538461539;148.98;762.442384615385;264.655153846154;0;-0.0109992;-0.000965999999999911
-100;0;0;9719.07692307692;0;-9540.30769230769;249.230769230769;0;-240.923076923077;1.07889569230769;0;1.22090676923077;2.30769230769231;-1.35316153846154;-0.0295562384615385;-0.0295562384615385;148.911076923077;762.579923076923;265.010076923077;0.768328;0.0555446000000001;-0.821673
-100;0;0;13317.1538461538;0;-13006;251.307692307692;0;-243;1.10256469230769;0;1.09270261538462;2.20315461538462;-1.26325384615385;-0.00394078461538461;-0.00394078461538461;148.98;762.614307692308;264.950923076923;-1.536656;-0.1770844;1.63755
